text,clause_type,risk
"subject to clauses 9.1 and 9.2, neither party shall be liable under this agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this agreement).",Uncapped Liability,Low Risk
"nothing in this agreement shall exclude or limit either party's liability for: (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees; (b) fraud or fraudulent misrepresentation;",Uncapped Liability,Low Risk
(c) breach of any implied condition as to title or quiet enjoyment; and (d) misuse of confidential information.,Uncapped Liability,Low Risk
"subject to clauses 9.1 and 9.2, each party's total liability under or in connection with this agreement (whether in contract, tort or otherwise) arising in any contract year is limited to the greater of: (a) [ * ] euros ([ * ] euros); and (b) [ * ]% of the total payment due to the distributor in the relevant contract year pursuant to clause 4 (payment terms).",Uncapped Liability,Low Risk
"nothing in this agreement shall exclude or limit either party's liability under clause 10 (indemnities), or distributor's liability under clause 2 (license grants and restrictions), clause 3.5 (exclusivity), clause 3.6 (end user license agreement) and clause 3.7 (accurate reproduction) or clause [ * ].",Uncapped Liability,Low Risk
"subject to clauses 9.1 and 9.2, neither party shall be liable under this agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this agreement).",Cap On Liability,Low Risk
"subject to clauses 9.1 and 9.2, each party's total liability under or in connection with this agreement (whether in contract, tort or otherwise) arising in any contract year is limited to the greater of: (a) [ * ] euros ([ * ] euros); and (b) [ * ]% of the total payment due to the distributor in the relevant contract year pursuant to clause 4 (payment terms).",Cap On Liability,Low Risk
"notwithstanding anything to the contrary, in no event shall the [ * ] paid or payable to distributor by google pursuant to clause 4.1 (payments) exceed the [ * ].",Cap On Liability,Low Risk
the foregoing clauses 10.1 to 10.5 states the parties' entire liability and exclusive remedy with respect to infringement of a third party's intellectual property rights.,Cap On Liability,Low Risk
google warrants that the distribution products will for a period of [ * ] from the date of their supply to distributor be free from any defect which has a materially adverse effect on their use or operation.,Warranty Duration,Low Risk
joint filing agreement,Document Name,Low Risk
shelby j. butterfield,Parties,Low Risk
co-trustee,Parties,Low Risk
"march 27, 2020.",Agreement Date,Low Risk
endorsement agreement,Document Name,Low Risk
adams golf,Parties,Low Risk
tom watson,Parties,Low Risk
"adams golf, ltd.",Parties,Low Risk
consultant,Parties,Low Risk
"january 13, 2005",Agreement Date,Low Risk
the term of this agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of september 2004 and terminating the [*****] day of [*****].,Effective Date,Low Risk
the term of this agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of september 2004 and terminating the [*****] day of [*****].,Expiration Date,Low Risk
this agreement shall be governed and construed according to the laws of the state of kansas.,Governing Law,Low Risk
"when endorsing a non-competitive product, under no circumstances shall consultant wear, play, use, hold or in any way be associated with an adams golf competitor's product.",Non-Compete,Low Risk
"consultant hereby gives and grants to adams golf the exclusive right and license to use consultant's endorsement in connection with the manufacture, sale, distribution, advertising and promotion of product in the contract territory.",Exclusivity,Low Risk
"during the term of this agreement, consultant shall exclusively play/use the mandatory product.",Exclusivity,Low Risk
"during the term of this agreement, unless otherwise authorized at the sole discretion of adams golf in writing, consultant shall not: a.give the right to use or permit the use of consultant's name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of product; b.sponsor or endorse product made or sold by any other manufacturer or seller; or c.serve as a consultant or advisor of any other manufacturer or seller of product.",Exclusivity,Low Risk
"notwithstanding paragraphs 4a, 4b and 4c above, consultant shall be entitled to endorse and play the [*****].",Competitive Restriction Exception,Low Risk
"notwithstanding paragraphs 4a, 4b and 4c above, consultant shall not be required to wear adams golf [*****] in [*****] ads.",Competitive Restriction Exception,Low Risk
the parties expressly agree that consultant may permit [*****] the use of consultant's name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past [*****] advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include [*****].,Competitive Restriction Exception,Low Risk
"(it is expressly understood by the parties that consultant may play [* ****] clubs in the bag other than adams golf clubs including, but not limited to, a putter by a manufacturer other than adams golf but may not endorse those clubs and/or putter.)",Competitive Restriction Exception,Low Risk
"neither adams golf nor consultant shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.",Anti-Assignment,High Risk
"if for any reason, consultant should achieve a satisfactory record of play in less than [*****] spga and/or pga tour events in a calendar year, he shall repay adams golf an amount per event for each event under [*****] achieved in the given calendar year as follows: the agreed upon repayment amount per event per calendar year: 1. year 1. $[*****] 2. year 2 $[*****] 3. year 3 $[*****] 4. year 4 $[*****] 5. year 5 $[*****]",Minimum Commitment,High Risk
"in each and every calendar year of this agreement, consultant shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the spga and/or pga tour (which shall include both the pga and spga tour skins games).",Minimum Commitment,High Risk
"""mandatory products"" shall mean the following adams golf products that consultant must exclusively play/use in all champions/senior professional golf association (spga) and professional golf association (pga) events at all times: [***** ] confidential material redacted and filed separately with the commission. 2 1.[*****] 2.sufficient [*****] to maintain total minimum of [*****] adams golf [*****] (includes [*****])[*****] at all times",Minimum Commitment,High Risk
"during the term of this agreement, consultant shall make himself available on not more than [*****] days for television and radio commercials, photo shoots, modeling and promotional appearances compatible with consultant's own practice, play and personal time requirements.",Volume Restriction,Low Risk
"consultant hereby gives and grants to adams golf the exclusive right and license to use consultant's endorsement in connection with the manufacture, sale, distribution, advertising and promotion of product in the contract territory.",License Grant,Low Risk
consulting agreement,Document Name,Low Risk
"kiromic, inc",Parties,Low Risk
company,Parties,Low Risk
gianluca rotino,Parties,Low Risk
consultant,Parties,Low Risk
"july 20, 2018",Agreement Date,Low Risk
"this letter agreement will be effective as of july 1, 2018.",Effective Date,Low Risk
this agreement will commence on the effective date and will continue until termination as provided below.,Expiration Date,Low Risk
"this agreement shall be governed by the laws of the state of texas, without reference to its conflicts of law principles.",Governing Law,Low Risk
"without limiting the foregoing, consultant agrees to use his or her best efforts (a) to segregate consultant's",Non-Compete,Low Risk
"services performed under this agreement from consultant's work done for any other companies for whom consultant is providing services so as to minimize any questions of disclosure of, or rights under, any inventions, (b) to notify the company if at any time the consultant believes that such questions may result from his or her performance under this agreement and (c) to assist the company in fairly resolving any questions in this regard which may arise.",Non-Compete,Low Risk
"consultant hereby certifies that consultant has no outstanding agreement or obligation that is in conflict with any of the provisions of this agreement, or that would preclude consultant from complying with the provisions hereof, and further certifies that consultant will not enter into any such conflicting agreement during the term of this agreement.",Non-Compete,Low Risk
"subject to written waivers that may be provided by the company upon request, which shall not be unreasonably withheld, consultant agrees that, during the term of this agreement, consultant will not directly or indirectly (i) participate in the formation of any business or commercial entity in the field of interest or otherwise competitive with the company.",Non-Compete,Low Risk
either consultant or company may terminate this agreement upon prior written notice thereof to the other party.,Termination For Convenience,Low Risk
consultant shall not subcontract any portion of consultant's duties under this agreement without the prior written consent of company.,Anti-Assignment,High Risk
neither this agreement nor any right hereunder or interest herein may be assigned or transferred by consultant without the express written consent of company.,Anti-Assignment,High Risk
"the company will compensate consultant at the rate of $400 per hour (19 hours cap monthly; anything over these hrs must be preapproved by management), payable in accordance with the company's standard payroll schedule, and subject to withholding as legally required.",Volume Restriction,Low Risk
to execute and file any such applications and to do all other lawfully permitted acts to further the prosecution and issuance of such intellectual property rights thereon with the same legal force and effect as if executed by consultant.,Ip Ownership Assignment,High Risk
"consultant agrees that if company is unable because of consultant's unavailability, mental or physical incapacity, or for any other reason, to secure consultant's signature to apply for or to pursue any application or registration for any intellectual property rights covering any invention, then consultant hereby irrevocably designates and appoints company and its duly authorized officers and agents as consultant's agent and attorney-in-fact, to act for and in consultant's behalf",Ip Ownership Assignment,High Risk
"consultant agrees to sign, execute and acknowledge or cause to be signed, executed and acknowledged without cost, but at the expense of company, any and all documents and to perform such acts as my be necessary, useful or convenient for the purposes of perfecting the foregoing assignments and obtaining, enforcing and defending intellectual property rights in any and all countries with respect to inventions.",Ip Ownership Assignment,High Risk
"consultant hereby irrevocably assigns to company all right, title and interest in and to any information (including, without limitation, business plans and/or business information), technology, know-how, materials, notes, records, designs, ideas, inventions, improvements, devices, developments, discoveries, compositions, trade secrets, processes, methods and/or techniques, whether or not patentable or copyrightable, that are conceived, reduced to practice or made by consultant alone or jointly with others in the course of performing the services or through the use of confidential information (collectively, 111nventions"").",Ip Ownership Assignment,High Risk
"consultant agrees that if, in the course of performing the services, consultant incorporates into any invention developed hereunder any invention, improvement, development concept, discovery or other proprietary subject matter owned by consultant or in which consultant has an interest (""item""), consultant will inform company in writing thereof, and company is hereby granted and shall have a non-exclusive, royalty-free, perpetual, irrevocable, worldwide license to make, have made, modify, reproduce, display, use and sell such item as part of or in connection with the exploitation of such invention.",License Grant,Low Risk
"consultant agrees that if, in the course of performing the services, consultant incorporates into any invention developed hereunder any invention, improvement, development concept, discovery or other proprietary subject matter owned by consultant or in which consultant has an interest (""item""), consultant will inform company in writing thereof, and company is hereby granted and shall have a non-exclusive, royalty-free, perpetual, irrevocable, worldwide license to make, have made, modify, reproduce, display, use and sell such item as part of or in connection with the exploitation of such invention.",Irrevocable Or Perpetual License,Low Risk
"upon the termination of this agreement, or upon company's earlier requests, consultant will deliver to company all property relating to, and all tangible embodiments of, inventions in consultant's possession or control.",Post-Termination Services,Low Risk
amendment and termination of joint venture agreement,Document Name,Low Risk
"nissin kogyo co., ltd.",Parties,Low Risk
nissin kogyo holdings,Parties,Low Risk
"""nissin holding"")",Parties,Low Risk
veoneer ab,Parties,Low Risk
"""nbz"" and together with nissin and nissin holding, the ""nissin parties""",Parties,Low Risk
"zhongshan nissin industry co., ltd.",Parties,Low Risk
nissin,Parties,Low Risk
"usa, inc.",Parties,Low Risk
"""veoneer us"" and together with veoneer ab, the ""veoneer parties""",Parties,Low Risk
"veoneer us, inc.",Parties,Low Risk
"october 30, 2019",Agreement Date,Low Risk
"october 30, 2019",Effective Date,Low Risk
"this amendment shall only become effective upon the vnbj closing with respect to article 1.1 and the vnbz closing with respect to article 1.2, and shall terminate without any force or effect in the event that the vnbj spa and the vnbz spa are terminated in accordance with the terms thereof.",Effective Date,Low Risk
"this amendment shall only become effective upon the vnbj closing with respect to article 1.1 and the vnbz closing with respect to article 1.2, and shall terminate without any force or effect in the event that the vnbj spa and the vnbz spa are terminated in accordance with the terms thereof.",Expiration Date,Low Risk
this amendment shall be governed by and construed in accordance with the laws of japan.,Governing Law,Low Risk
remarketing agreement,Document Name,Low Risk
deutsche bank trust company america,Parties,Low Risk
"metlife, inc.",Parties,Low Risk
"remarketing agents,",Parties,Low Risk
deutsche bank,Parties,Low Risk
deutsche bank securities inc.,Parties,Low Risk
company,Parties,Low Risk
stock purchase contract agent,Parties,Low Risk
"august 26, 2014",Agreement Date,Low Risk
"obligations of the remarketing agents may be terminated by them by notice given to the company prior to 12:00 noon, new york city time on the remarketing settlement date if, prior to that time, any of the applicable conditions precedent to the obligations of the remarketing agents described in section 5 hereof shall have failed to occur.",Expiration Date,Low Risk
"in addition, the",Expiration Date,Low Risk
"this remarketing agreement and the pricing agreement shall be governed by and construed in accordance with the laws of the state of new york, without regard to principles of conflicts of law to the extent that such principles would require or permit the application of laws of another jurisdiction.",Governing Law,Low Risk
"notwithstanding the provisions of this subsection (d), no remarketing agent shall be required to contribute any amount in excess of the amount by which the total price at which the applicable securities remarketed by it and distributed to the public were offered to the public exceeds the amount of any damages which such remarketing agent has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.",Cap On Liability,Low Risk
"as an insurance company in its respective jurisdiction of incorporation and is duly licensed or authorized as an insurer in each other jurisdiction where it is required to be so licensed or authorized to conduct its business, in each case with such exceptions as would not have, individually or in the aggregate, a material adverse effect; except as otherwise described in the disclosure package, each insurance subsidiary has all other approvals, orders, consents, authorizations, licenses, certificates, permits, registrations and qualifications (collectively, the ""approvals"") of and from all insurance regulatory authorities to conduct its business, with such exceptions as would not have, individually or in the aggregate, a material adverse effect; there is no pending or, to the knowledge of the company, threatened action, suit, proceeding or investigation that could reasonably be expected to lead to any revocation, termination or suspension of any such approval, the revocation, termination or suspension of which would have, individually or in the aggregate, a material adverse effect; and, to the knowledge of the company, no insurance regulatory agency or body has issued any order or decree impairing, restricting or prohibiting the payment of dividends by any insurance subsidiary to its parent which would have, individually or in the aggregate, a material adverse effect.",Insurance,Low Risk
"each insurance subsidiary is in compliance with and conducts its businesses in conformity with all applicable insurance laws and regulations of its respective jurisdiction of incorporation and the insurance laws and regulations of other jurisdictions which are applicable to it, in each case with such exceptions as would not have, individually or in the aggregate, a material adverse effect.",Insurance,Low Risk
"each significant subsidiary that is required to be organized or licensed as an insurance company in its jurisdiction of incorporation (each, an ""insurance subsidiary"" and collectively, the ""insurance subsidiaries"") is licensed",Insurance,Low Risk
strategic alliance agreement,Document Name,Low Risk
"""fte"" or ""subcontractor""",Parties,Low Risk
"fte networks, inc.",Parties,Low Risk
edge,Parties,Low Risk
fte,Parties,Low Risk
"edge communications solutions, llc",Parties,Low Risk
17t h day of february 2016,Agreement Date,Low Risk
17t h day of february 2016,Effective Date,Low Risk
"this strategic alliance agreement (the ""agreement""), made effective this 17t h day of february 2016, through february 16, 2019 (the ""initial term"") i",Expiration Date,Low Risk
"after the initial term, this agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.",Renewal Term,Low Risk
"after the initial term, this agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.",Notice Period To Terminate Renewal,Low Risk
"the construction, interpretation, and performance of this agreement and all transactions under it shall be governed by the laws of the state of texas, irrespective of its conflict of law principles.",Governing Law,Low Risk
"subcontractor, during the term of this agreement and for a period of one year thereafter, shall not, directly or indirectly, for itself or on behalf of or in conjunction with any other person, partnership, corporation, business or organization, solicit, hire, contract with or engage the employment of an employee of edge with whom subcontractor or its personnel have contact as a result of subcontractor's performance of this agreement, unless subcontractor (i) obtains the written consent of edge, as applicable, and (ii) pays edge as applicable a fee to be mutually agreed upon",No-Solicit Of Employees,Low Risk
"in the event subcontractor directly employs or contracts with an employee of edge without the consent of edge, subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.",No-Solicit Of Employees,Low Risk
"after the initial term, this agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.",Termination For Convenience,Low Risk
"subcontractor shall not assign any right or interest under this agreement (excepting monies due, or to become due) or delegate or subcontract any work or other obligation to be performed or owed under this agreement without prior consent of edge.",Anti-Assignment,High Risk
"should the agreement expire during the period of performance, all remaining work of each purchase order will be completed under the terms of the agreement then in effect on the date of award for each respective purchase order, unless modified in writing by mutual consent of the parties.",Post-Termination Services,Low Risk
"as set forth in the exhibit, edge shall have the opportunity to review and inspect all elements of the work in a reasonable manner.",Audit Rights,Low Risk
"in the event subcontractor directly employs or contracts with an employee of edge without the consent of edge, subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.",Liquidated Damages,Low Risk
"if within one (1) year from the date of completion of work acceptance, or within one (1) year from the completion of all other work or services and acceptance by edge (or within any longer materials warranty period as set forth above), any defects exists or arise, then in each case upon receipt of notice of such defect, subcontractor shall (unless edge chooses another remedy) promptly cause such defect(s) to be repaired or remedied at subcontractor's sole cost and expense, including but not limited to the costs of transportation, uncovering, removal, disposal, replacement, correction, installation and covering.",Warranty Duration,Low Risk
"these warranties extend to the future performance of the materials and shall continue for the longer of (a) the warranty period applicable to edge' sales to customer of the material or of products which incorporate the material, (b) one year after the material is accepted by edge or (c) such greater period as may be specified elsewhere in this agreement. repaired and replacement material shall be warranted as set forth above in this clause.",Warranty Duration,Low Risk
"umbrella/excess liability with limits of not less than $5,000,000 in excess of all the above-referenced commercial general liability, employer's liability and business auto liability, except the following subcontractor classifications will have limits of not less than the following: hvac $2,000,000, landscaping and fencing $1,000,000. such umbrella/excess liability policies shall follow form to the terms and conditions of the underlying coverages and shall include a drop down feature in the event any underlying limits are exhausted.",Insurance,Low Risk
"commercial general liability insurance providing the limits of coverage written on an occurrence basis, in no event less than $1,000,000 combined single limit and $2,000,000 in the aggregate for personal and bodily injury and death arising therefrom and broad form property damage arising out of any one occurrence in connection with the work or any part thereof, which insurance shall include coverage with the same minimum limits for contractual liability and completed operations liability.",Insurance,Low Risk
edge's acceptance of or failure to object to the submitted documents does not constitute approval of coverage that is not in compliance with this agreement or as acceptance or affirmation of the adequacy or applicability of such insurance.,Insurance,Low Risk
"a copy of the (i) certificate(s) of insurance and (ii) endorsements, acceptable to edge, shall be submitted to edge prior to commencement of any work and renewals or replacements of such certificates shall be so delivered at least 30 days prior to the expiration or termination of each such policy.",Insurance,Low Risk
"general liability and umbrella/excess liability policies must have ""per location or per project"" aggregates.",Insurance,Low Risk
"all insurance must be written on an ""occurrence"" basis.",Insurance,Low Risk
"subcontractor expressly acknowledges while edge retains the right to review the insurance provided by subcontractor and' lower-tier subcontractors, edge is not obligated to perform such review.",Insurance,Low Risk
"workers' compensation insurance as required by state law where the work is performed. employer liability insurance with limits of at least $1,000,000 for each occurrence.",Insurance,Low Risk
"edge and mediacom, llc shall be named as an additional insured.",Insurance,Low Risk
"motor vehicle insurance covering bodily injury, death of a person or property damage arising out of the ownership, maintenance or use of any motor vehicles in an amount not less than $1,000,000 combined single limit for personal and bodily injury and death.",Insurance,Low Risk
subcontractor shall obtain at its own cost and expense and maintain the insurance in full force and effect during the term of the agreement as required herein.,Insurance,Low Risk
